Ativo;Aplicação;Rentabilidade;Indexado;Início;Vencimento
CDB;5000;117.5;CDI;28/08/17;28/08/20
IPCA+; 499.88 ;5.72;IPCA;10/07/18;15/05/45
Prefixado; 63.04 ;10.65;;23/06/17;01/01/23
Selic+; 4369.33 ;0.04;Selic;27/10/16;01/03/21
